ORDER_ID,RETAILER_ID,BRAND_ID,ORDER_CREATED,ORDER_STATE,TOTAL_GMV
3761862,303877,5950,2021-07-01 00:00:00,PROCESSING,63.9
3762120,367402,232342,2021-07-01 00:00:00,PROCESSING,223.65000000000000
3762231,154873,146351,2021-07-01 00:00:00,PROCESSING,335.47500000000000
3762263,362292,206015,2021-07-01 00:00:00,PROCESSING,462.74250000000000
3762403,235757,9827,2021-07-01 00:00:00,PROCESSING,193.83000000000000
3762612,338830,54,2021-07-01 00:00:00,PROCESSING,323.76
3761772,297779,226999,2021-07-01 00:00:00,PROCESSING,745.5
3761878,303877,6388,2021-07-01 00:00:00,PROCESSING,408.96
3761891,303877,4007,2021-07-01 00:00:00,PROCESSING,167.73750000000000
3761957,352837,34029,2021-07-01 00:00:00,PROCESSING,549.114
3762015,360180,211624,2021-07-01 00:00:00,PROCESSING,255.51480000000000
3762220,358991,13429,2021-07-01 00:00:00,PROCESSING,788.1000000000000
3751372,359919,54267,2021-07-01 00:00:00,PROCESSING,255.6
3761897,303877,197888,2021-07-01 00:00:00,PROCESSING,1346.1600000000000
3761983,352248,127052,2021-07-01 00:00:00,PROCESSING,230.80680000000000
3762276,235757,50050,2021-07-01 00:00:00,PROCESSING,530.37
3761756,379848,50336,2021-07-01 00:00:00,PROCESSING,394.263
3761862,303877,5950,2021-07-01 00:00:00,PROCESSING,57.51
3762143,359000,8041,2021-07-01 00:00:00,PROCESSING,1363.2000000000000
3762192,280227,30988,2021-07-01 00:00:00,PROCESSING,419.61000000000000
3762200,362292,45446,2021-07-01 00:00:00,PROCESSING,359.97000000000000
3761753,345358,12030,2021-07-01 00:00:00,PROCESSING,166.14
3761986,359217,11674,2021-07-01 00:00:00,PROCESSING,217.26
3762113,359866,16909,2021-07-01 00:00:00,PROCESSING,315.66600000000000
3762220,358991,107091,2021-07-01 00:00:00,PROCESSING,417.48000000000000
3762861,64811,3565,2021-07-01 00:00:00,PROCESSING,323.76
3763119,366718,224560,2021-07-01 00:00:00,PROCESSING,293.94
3744523,358283,15148,2021-07-01 00:00:00,PROCESSING,191.7
3763898,284019,219002,2021-07-01 00:00:00,PROCESSING,391.92000000000000
3764197,116313,219538,2021-07-01 00:00:00,PROCESSING,387.66000000000000
3764266,350335,3308,2021-07-01 00:00:00,PROCESSING,1047.96
3764284,373936,50260,2021-07-01 00:00:00,PROCESSING,220.45500000000000
3762931,357054,3046,2021-07-01 00:00:00,PROCESSING,338.67000000000000
3763000,372610,117072,2021-07-01 00:00:00,PROCESSING,290.8728
3763052,333392,34223,2021-07-01 00:00:00,PROCESSING,1220.49
3763220,213591,146045,2021-07-01 00:00:00,PROCESSING,597.4650000000000
3763282,299587,14274,2021-07-01 00:00:00,PROCESSING,85.20000000000000
3763349,348367,6914,2021-07-01 00:00:00,PROCESSING,681.6000000000000
3600137,367906,5007,2021-07-01 00:00:00,PROCESSING,29.82
3764113,280932,37698,2021-07-01 00:00:00,PROCESSING,366.36000000000000
3764272,116313,32692,2021-07-01 00:00:00,PROCESSING,359.97000000000000
3764389,383439,44077,2021-07-01 00:00:00,PROCESSING,258.79500000000000
3763083,326635,12880,2021-07-01 00:00:00,PROCESSING,555.93
3763249,213591,108323,2021-07-01 00:00:00,PROCESSING,315.24
3764156,259644,38763,2021-07-01 00:00:00,PROCESSING,1406.1834
3764194,355834,217600,2021-07-01 00:00:00,PROCESSING,832.8300000000000
3764310,370664,217314,2021-07-01 00:00:00,PROCESSING,5648.2275
3764315,353900,148999,2021-07-01 00:00:00,PROCESSING,408.96
3764355,371570,203781,2021-07-01 00:00:00,PROCESSING,93.6348
3764414,367698,56612,2021-07-01 00:00:00,PROCESSING,363.4419
3764458,351203,5247,2021-07-01 00:00:00,PROCESSING,319.5
3762775,363025,107985,2021-07-01 00:00:00,PROCESSING,562.3200000000000
3762826,214221,208123,2021-07-01 00:00:00,PROCESSING,93.72
3762873,214221,43020,2021-07-01 00:00:00,PROCESSING,149.526
3762903,373725,37380,2021-07-01 00:00:00,PROCESSING,127.8
3762921,112939,91997,2021-07-01 00:00:00,PROCESSING,117.15000000000000
3763067,372610,151632,2021-07-01 00:00:00,PROCESSING,432.39
3763339,112939,204334,2021-07-01 00:00:00,PROCESSING,723.7101000000000
3763776,368711,14494,2021-07-01 00:00:00,PROCESSING,932.9400000000000
3763847,350112,13033,2021-07-01 00:00:00,PROCESSING,2462.2800000000000
3764480,200333,132492,2021-07-01 00:00:00,PROCESSING,666.6900000000000
3762680,343335,72607,2021-07-01 00:00:00,PROCESSING,702.9
3763095,372610,131,2021-07-01 00:00:00,PROCESSING,346.1676
3763122,378706,3342,2021-07-01 00:00:00,PROCESSING,854.6625000000000
3763202,213591,53402,2021-07-01 00:00:00,PROCESSING,1257.7650000000000
3763404,348367,8841,2021-07-01 00:00:00,PROCESSING,530.37
3763523,323100,7746,2021-07-01 00:00:00,PROCESSING,280.6488
3763566,3455,3212,2021-07-01 00:00:00,PROCESSING,447.30000000000000
3764228,358450,22713,2021-07-01 00:00:00,PROCESSING,230.04
3764378,367698,7171,2021-07-01 00:00:00,PROCESSING,549.54
3764507,134661,50101,2021-07-01 00:00:00,PROCESSING,423.87
